6,['l+r*p'],1447.18040769
12,['l*r*p'],1065.25935065
18,['l*r+p'],1421.17761661
24,['r'],1522.69192171
30,['l+r'],1636.43819727
36,['l+r+p'],1498.5335455
42,['l*r+p'],1409.95050852
48,['l+r*p'],1554.19456406
54,['l*r*p'],72.2929449715
60,['r'],867.239105204
66,['l*r+p'],1560.16615057
72,['l+r'],1617.94135323
78,['l+r*p'],1539.27005496
84,['l*r+p'],1540.27841829
90,['l+p'],1649.50329004
96,['l+r'],1497.32848211
102,['l*r+p'],1186.04707133
108,['r'],1655.12621303
114,['l+r*p'],1257.85668223
120,['l*r'],719.5360628
126,['r'],699.647575814
132,['l*p+r'],1635.02048954
138,['p*r'],1594.84128285
144,['p*r'],1473.11393006
150,['l*r*p'],727.258312581
156,['l*r+p'],813.052621911
162,['l*r+p'],1106.32867422
168,['p+r'],1455.73382161
174,['l*p+r'],674.684238543
180,['l*r+p'],1288.05832648
186,['p*r'],1068.21999377
192,['l*r+p'],1281.5534318
198,['l*r+p'],1050.89090843
204,['p*r'],1546.1575376
210,['l*r+p'],1272.71066003
216,['l+r*p'],1510.95148733
222,['p+r'],1179.14395606
228,['l+r*p'],442.37330663
234,['p+r'],1596.93960916
240,['l*p+r'],132.163509283
246,['l*r+p'],1482.04501499
252,['p+r'],1651.18830284
258,['l+r+p'],1081.22940814
264,['r'],1559.25113404
270,['r'],1036.79157497
276,['l*r'],-313.428420388
282,['l*r+p'],1227.02428399
288,['l+r'],1655.1906829
294,['r'],1248.92818796
300,['r'],1553.72140531
306,['l+r'],1221.98250871
312,['l+p'],1653.65841554
318,['l*p+r'],949.421868017
324,['l*r*p'],1044.85973014
330,['p+r'],1279.2154583
336,['l+r+p'],1455.24152493
342,['l+r'],1421.59928254
348,['l+p'],1654.09236982
354,['l*r+p'],1340.30538765
360,['l+r'],1456.72234322
366,['l*r+p'],1506.94595982
372,['r'],1310.55358019
378,['r'],1298.25666792
384,['r'],950.385028859
390,['p*r'],1053.47930138
396,['p+r'],900.498418069
402,['l*r+p'],1320.62524817
408,['l+r*p'],1650.36508574
414,['p+r'],1022.00732624
420,['p*r'],900.996326735
426,['l*r+p'],1031.99846165
432,['l+r+p'],1391.01646139
438,['p*r'],711.296510702
444,['l+r'],1589.4831235
450,['p+r'],977.334205766
456,['l+r'],1114.4700103
462,['l+r+p'],1412.36034663
468,['r'],1345.88727862
474,['l*r+p'],1071.9406402
480,['l*r+p'],1333.78004846
486,['l+r+p'],1653.36925782
492,['l*r+p'],1356.10984064
498,['l+r'],1491.57531569
504,['l*r+p'],1452.0678255
510,['p*r'],1174.05296324
516,['p*r'],1595.92827361
522,['l*r+p'],1182.00975511
528,['r'],1460.60177145
534,['p+r'],1491.03012154
540,['p*r'],1560.4147011
546,['r'],1403.80862333
552,['l+r'],727.028933176
558,['p+r'],1283.15309221
564,['l+r+p'],896.164545908
570,['l+r'],1163.16154524
576,['l+r'],1632.8122636
582,['r'],936.461234841
588,['r'],1543.14325886
594,['p*r'],1402.65436767
600,['p+r'],1491.86313562
606,['r'],1074.64432625
612,['p*r'],1512.12695056
618,['l+r+p'],1469.75231334
624,['p+r'],1569.03103373
630,['p+r'],1399.24464464
636,['r'],1281.74004995
642,['l+p'],1650.25909996
648,['l*p+r'],1567.01546995
654,['l*r+p'],1207.97999345
660,['l+r*p'],1547.80932353
666,['r'],1640.5836955
672,['r'],1177.68483395
678,['l+r*p'],-261.82029506
684,['l+r+p'],1323.81272868
690,['l+r*p'],1654.45203187
696,['l+r+p'],1209.90370438
702,['l*p+r'],1140.15787468
708,['r'],1632.33700664
714,['l+r*p'],209.296425551
